,lipid,fc,p,pnd1,pnd2
161,TAG(54:4/FA18:2)+NH4,0.6298960334612194,0.4378621448711689,30,60
162,TAG(54:4/FA20:3)+NH4,1.9507622566832816,0.10231532858613421,30,60
163,TAG(54:4/FA20:4)+NH4,0.7944290373217584,0.5250858679426638,30,60
164,TAG(54:5/FA16:0)+NH4,0.45301056020361463,0.1322635698610442,30,60
165,TAG(54:5/FA18:1)+NH4,0.6752563689296671,0.4913424274996565,30,60
166,TAG(54:5/FA18:2)+NH4,0.5523010102029638,0.30783489493162175,30,60
167,TAG(54:5/FA20:4)+NH4,0.4712445406953516,0.07646023185877202,30,60
168,TAG(54:5/FA22:5)+NH4,0.7834318561203554,0.4927013437163351,30,60
169,TAG(54:6/FA16:0)+NH4,0.6343343732763965,0.09036680277814675,30,60
170,TAG(54:6/FA16:1)+NH4,0.9917310286031894,0.9836966800335408,30,60
171,TAG(54:6/FA18:1)+NH4,0.7843589153181989,0.5910217880835951,30,60
172,TAG(54:6/FA18:2)+NH4,0.7632521026162478,0.5707441337851735,30,60
173,TAG(54:6/FA18:3)+NH4,0.45650961325254036,0.32425808926614397,30,60
174,TAG(54:6/FA20:4)+NH4,0.7248057724790165,0.3029413306823347,30,60
175,TAG(54:6/FA22:5)+NH4,0.7441172511592596,0.36226244981671607,30,60
176,TAG(54:6/FA22:6)+NH4,0.6873057947251192,0.21550427310064987,30,60
177,TAG(54:7/FA16:1)+NH4,0.9241422585828294,0.8470810975006289,30,60
